Farmer Code,Date,Shift,Cow/Buff,Qty,Rate,Amount,Fat,KiloFat,CanNo,EntryDt,c_KiloFat,c_KiloQty,,
159,01-04-2017 00:00,M,C,28.04,27.77,778.67,4.3,120.57,14,01-04-2017 10:03,1.20572,28.04,,
99,01-04-2017 00:00,M,B,8.18,38.76,317.06,6.8,55.62,2,01-04-2017 10:04,0.55624,8.18,,
114,01-04-2017 00:00,M,B,7.26,59.85,434.51,10.5,76.23,2,01-04-2017 10:06,0.7623,7.26,,
114,01-04-2017 00:00,M,C,12.08,30.82,372.31,5.4,65.23,14,01-04-2017 10:07,0.65232,12.08,,
8,01-04-2017 00:00,M,C,12.96,32.21,417.44,5.9,76.46,14,01-04-2017 10:10,0.76464,12.96,,
9,01-04-2017 00:00,M,B,2.52,39.9,100.55,7,17.64,2,01-04-2017 10:12,0.1764,2.52,,
1000,01-04-2017 00:00,M,B,73.46,41.61,3056.67,7.3,536.26,4,01-04-2017 10:13,5.36258,73.46,,
1000,01-04-2017 00:00,M,C,562.64,28.33,15939.59,4.5,2531.88,29,01-04-2017 10:14,25.3188,562.64,,
38,01-04-2017 00:00,E,C,4.84,26.94,130.39,4,19.36,1,01-04-2017 19:56,0.1936,4.84,,
61,01-04-2017 00:00,E,C,3.08,26.94,82.98,4,12.32,1,01-04-2017 19:57,0.1232,3.08,,
155,01-04-2017 00:00,E,C,5.88,27.77,163.29,4.3,25.28,1,01-04-2017 19:59,0.25284,5.88,,
158,01-04-2017 00:00,E,C,5.18,28.88,149.6,4.7,24.35,1,01-04-2017 20:00,0.24346,5.18,,
97,01-04-2017 00:00,E,C,3.04,28.33,86.12,4.5,13.68,1,01-04-2017 20:01,0.1368,3.04,,
108,01-04-2017 00:00,E,C,4.08,27.49,112.16,4.2,17.14,1,01-04-2017 20:03,0.17136,4.08,,
118,01-04-2017 00:00,E,C,3.34,26.1,87.17,3.7,12.36,1,01-04-2017 20:04,0.12358,3.34,,
20,01-04-2017 00:00,E,C,2.18,30.27,65.99,5.2,11.34,1,01-04-2017 20:05,0.11336,2.18,,
76,01-04-2017 00:00,E,C,4.08,28.05,114.44,4.4,17.95,1,01-04-2017 20:17,0.17952,4.08,,
133,01-04-2017 00:00,E,C,11.22,27.77,311.58,4.3,48.25,2,01-04-2017 20:21,0.48246,11.22,,
152,01-04-2017 00:00,E,C,6.6,27.77,183.28,4.3,28.38,2,01-04-2017 20:23,0.2838,6.6,,
71,01-04-2017 00:00,E,C,3.46,25.27,87.43,3.4,11.76,2,01-04-2017 20:24,0.11764,3.46,,
51,01-04-2017 00:00,E,C,3.64,27.21,99.04,4.1,14.92,2,01-04-2017 20:24,0.14924,3.64,,
105,01-04-2017 00:00,E,C,3.8,27.21,103.4,4.1,15.58,2,01-04-2017 20:31,0.1558,3.8,,
1,01-04-2017 00:00,E,C,9.44,29.99,283.11,5.1,48.14,2,01-04-2017 20:32,0.48144,9.44,,
123,01-04-2017 00:00,E,C,10.86,26.94,292.57,4,43.44,3,01-04-2017 20:34,0.4344,10.86,,
70,01-04-2017 00:00,E,C,6.8,30.55,207.74,5.3,36.04,3,01-04-2017 20:35,0.3604,6.8,,
119,01-04-2017 00:00,E,B,2.46,37.62,92.55,6.6,16.24,1,01-04-2017 20:36,0.16236,2.46,,
24,01-04-2017 00:00,E,C,1.6,26.66,42.66,3.9,6.24,3,01-04-2017 20:37,0.0624,1.6,,
25,01-04-2017 00:00,E,B,7.76,46.74,362.7,8.2,63.63,1,01-04-2017 20:39,0.63632,7.76,,
25,01-04-2017 00:00,E,C,5.34,29.44,157.21,4.9,26.17,3,01-04-2017 20:40,0.26166,5.34,,
67,01-04-2017 00:00,E,B,2.18,35.34,77.04,6.2,13.52,1,01-04-2017 20:41,0.13516,2.18,,
