Farmer Code,Date,Shift,Cow/Buff,Qty,Rate,Amount,Fat,KiloFat = Qty * Fat,CanNo,EntryDt,c_KiloFat,c_KiloQty
137,01-04-2017 00:00,M,C,5.6,26.38,147.73,3.8,21.28,3,01-04-2017 10:27,0.2128,5.6
34,01-04-2017 00:00,M,B,1.68,67.83,113.95,11.9,19.99,1,01-04-2017 10:28,0.19992,1.68
94,01-04-2017 00:00,M,B,1.4,37.05,51.87,6.5,9.1,1,01-04-2017 10:29,0.091,1.4
99,01-04-2017 00:00,M,B,1.42,53.58,76.08,9.4,13.35,1,01-04-2017 10:29,0.13348,1.42
187,01-04-2017 00:00,M,C,2.08,27.21,56.6,4.1,8.53,3,01-04-2017 10:31,0.08528,2.08
7,01-04-2017 00:00,M,C,2.94,24.99,73.47,3.3,9.7,4,01-04-2017 10:32,0.09702,2.94
197,01-04-2017 00:00,M,C,5.8,29.44,170.75,4.9,28.42,4,01-04-2017 10:34,0.2842,5.8
35,01-04-2017 00:00,M,B,2.28,51.87,118.26,9.1,20.75,1,01-04-2017 10:35,0.20748,2.28
50,01-04-2017 00:00,M,C,13.14,28.33,372.26,4.5,59.13,4,01-04-2017 10:35,0.5913,13.14
65,01-04-2017 00:00,M,C,10.98,28.05,307.99,4.4,48.31,4,01-04-2017 10:36,0.48312,10.98
26,01-04-2017 00:00,M,C,2.04,26.66,54.39,3.9,7.96,4,01-04-2017 10:36,0.07956,2.04
71,01-04-2017 00:00,M,C,1.76,29.16,51.32,4.8,8.45,4,01-04-2017 10:37,0.08448,1.76
173,01-04-2017 00:00,M,C,7.96,29.16,232.11,4.8,38.21,5,01-04-2017 10:39,0.38208,7.96
120,01-04-2017 00:00,M,C,3.08,26.66,82.11,3.9,12.01,5,01-04-2017 10:40,0.12012,3.08
5,01-04-2017 00:00,M,B,13.48,47.88,645.42,8.4,113.23,1,01-04-2017 10:42,1.13232,13.48
5,01-04-2017 00:00,M,B,13.08,34.77,454.79,6.1,79.79,1,01-04-2017 10:43,0.79788,13.08
21,01-04-2017 00:00,M,B,2.82,34.77,98.05,6.1,17.2,1,01-04-2017 10:44,0.17202,2.82
4,01-04-2017 00:00,M,C,8.46,31.66,267.84,5.7,48.22,5,01-04-2017 10:44,0.48222,8.46
66,01-04-2017 00:00,M,C,14.94,27.77,414.88,4.3,64.24,5,01-04-2017 10:46,0.64242,14.94
54,01-04-2017 00:00,M,C,3.1,32.21,99.85,5.9,18.29,5,01-04-2017 10:47,0.1829,3.1
27,01-04-2017 00:00,M,C,4.54,30.55,138.7,5.3,24.06,5,01-04-2017 10:47,0.24062,4.54
112,01-04-2017 00:00,M,C,8.42,26.66,224.48,3.9,32.84,6,01-04-2017 10:48,0.32838,8.42
76,01-04-2017 00:00,M,C,15.96,28.6,456.46,4.6,73.42,6,01-04-2017 10:50,0.73416,15.96
126,01-04-2017 00:00,M,C,4.5,29.44,132.48,4.9,22.05,6,01-04-2017 10:50,0.2205,4.5
205,01-04-2017 00:00,M,B,5.68,34.2,194.26,6,34.08,2,01-04-2017 10:50,0.3408,5.68
30,01-04-2017 00:00,M,B,6.86,38.76,265.89,6.8,46.65,2,01-04-2017 10:52,0.46648,6.86
30,01-04-2017 00:00,M,C,10.12,26.1,264.13,3.7,37.44,6,01-04-2017 10:52,0.37444,10.12
14,01-04-2017 00:00,M,B,2.24,37.62,84.27,6.6,14.78,2,01-04-2017 10:53,0.14784,2.24
59,01-04-2017 00:00,M,C,8.76,28.6,250.54,4.6,40.3,7,01-04-2017 10:54,0.40296,8.76
195,01-04-2017 00:00,M,B,9.92,38.76,384.5,6.8,67.46,2,01-04-2017 10:55,0.67456,9.92
17,01-04-2017 00:00,M,C,8.76,29.44,257.89,4.9,42.92,7,01-04-2017 10:56,0.42924,8.76
63,01-04-2017 00:00,M,C,13.6,26.1,354.96,3.7,50.32,7,01-04-2017 10:57,0.5032,13.6
157,01-04-2017 00:00,M,C,1.7,27.77,47.21,4.3,7.31,7,01-04-2017 10:58,0.0731,1.7
136,01-04-2017 00:00,M,B,11.5,45.6,524.4,8,92,2,01-04-2017 10:59,0.92,11.5
136,01-04-2017 00:00,M,C,29.92,28.33,847.63,4.5,134.64,8,01-04-2017 11:01,1.3464,29.92
104,01-04-2017 00:00,M,C,3.42,28.33,96.89,4.5,15.39,8,01-04-2017 11:01,0.1539,3.42
1000,01-04-2017 00:00,M,C,306,28.33,8668.98,4.5,1377,16,01-04-2017 11:03,13.77,306
1000,01-04-2017 00:00,M,B,78.12,41.61,3250.57,7.3,570.28,4,01-04-2017 11:03,5.70276,78.12
108,01-04-2017 00:00,E,C,3.2,28.88,92.42,4.7,15.04,1,01-04-2017 20:34,0.1504,3.2
119,01-04-2017 00:00,E,C,5.74,28.88,165.77,4.7,26.98,1,01-04-2017 20:35,0.26978,5.74
111,01-04-2017 00:00,E,C,4.04,28.88,116.68,4.7,18.99,1,01-04-2017 20:40,0.18988,4.04
